Date,RA-DRL,PPO-log_return,PPO-dsr,PPO-mdd,Market Index,1/N Strategy,MVO
2022-11-16,1135508.6466696786,1251174.2716393438,1144701.4038690527,1143592.730644898,1110175.673321343,1138122.3562033665,1009291.1843677039
2022-11-17,1134696.0012250866,1252741.3124831994,1148267.5673883734,1144334.003938107,1109927.2667679593,1140046.2959777205,1012150.1818989442
2022-11-18,1139451.110432654,1257008.48770702,1156177.0756252306,1150003.7520589663,1116523.740273759,1146537.7394508794,1006102.1990197694
2022-11-21,1140724.3942318924,1265334.0006751097,1153221.8362524968,1146827.6609187298,1115021.2812815192,1146745.238595926,996480.4692265443
2022-11-22,1154596.4645627576,1275365.1432560468,1167320.5137657854,1164287.996386868,1128183.726760029,1161145.8264460526,1022046.7413822523
2022-11-23,1160307.7690640737,1278756.1123037855,1169318.3914914483,1167490.531645825,1131358.6003208347,1164444.22172858,1012974.8631577875
2022-11-25,1162660.966643903,1284586.0891037683,1173266.6999386556,1169855.6205135863,1136419.9161569723,1167199.791171642,1010005.6454676223
2022-11-28,1146136.5173273236,1264234.144710621,1154525.6679794276,1153067.6258618394,1119957.1014031223,1150098.181406232,980645.6665515003
2022-11-29,1142427.938990916,1269277.2602816697,1156010.757084495,1155188.6852487698,1120058.6870175654,1152414.7244292677,995325.8962453045
2022-11-30,1181120.3735044976,1286464.5800706926,1185472.1727936703,1184304.9217279975,1144451.2541558337,1178438.771019005,1007861.4934134894
2022-12-01,1173985.8516861338,1283989.6845140671,1180450.9807713393,1175303.7063334498,1138007.4175592675,1172926.2616156721,1003353.2294588598
2022-12-02,1175227.0405032719,1286746.575798467,1182528.6409375458,1178089.8671957655,1139161.047577739,1174637.4548377905,995325.8962453045
2022-12-05,1155529.1548216424,1265514.4124029402,1168220.9920195863,1159774.4125454347,1123187.6790349523,1156975.4950475737,970749.3953510841
2022-12-06,1142961.137481963,1260096.1064937578,1156350.6628540219,1147102.9908651765,1111582.2334256477,1144036.4096220923,945732.8786698392
2022-12-07,1141909.9158483546,1261537.944182734,1157391.537608323,1146351.7863040115,1111634.5771582806,1143149.5016365866,948536.7180744687
2022-12-08,1149990.7326958927,1262232.753633073,1163089.3610862922,1154763.1083121293,1117707.8718253204,1149545.0483196205,954144.8773552135
2022-12-09,1141745.9956447266,1255395.5233292938,1155939.24392644,1145160.5577727987,1107615.8709299194,1140600.2420397534,923685.3874901653
2022-12-12,1161581.1318375843,1268709.1896523356,1173859.8867890062,1164783.8177522714,1125104.6228433736,1158747.9942126384,933306.8290004989
2022-12-13,1168613.6678833233,1273973.0608434316,1177249.8380199643,1171723.581540033,1128532.4264900128,1163629.0717029169,954089.8153228998
2022-12-14,1165918.7680333683,1263739.52593334,1171469.0002140542,1168433.2891966922,1123824.5924038775,1158215.1219894818,947492.1730635593
2022-12-15,1137067.1933455002,1234707.5795726196,1142820.6199279574,1143504.6021047507,1098542.18181085,1131428.487714067,940399.4529848805
2022-12-16,1125317.6599810736,1226344.7121562946,1132558.825376678,1133891.2281888346,1089219.8276508288,1121645.8290929024,927643.7998760348
2022-12-19,1116375.0976058815,1225804.5607126588,1127427.3724286547,1129451.0487460305,1083829.3278961335,1115368.2417246085,934021.6744776062
2022-12-20,1118872.3861434322,1227236.490808944,1126790.4916180654,1132217.7898328605,1086879.8689364633,1118889.7011382366,949361.6876162038
2022-12-21,1134180.7699351292,1248239.5942366335,1143489.242847645,1157107.4613755245,1104307.8762713065,1138832.7732715497,960522.655862488
2022-12-22,1120140.7182676406,1234359.6136771245,1130905.4741886535,1144855.74309992,1092760.9780962805,1127205.1652519822,946117.736330253
2022-12-23,1124326.376708019,1237512.6336149385,1134319.6654140002,1151912.9107947282,1098598.7905883642,1133189.9819580808,975367.4950874503
2022-12-27,1124051.0329545077,1237811.310616494,1135116.7593272377,1156537.1276836777,1099843.7959623209,1135380.0913439959,987628.5508484439
2022-12-28,1110474.3158562984,1224022.0464013717,1123212.475770078,1142292.1375197382,1087739.2108581322,1121082.420916395,973058.3491249701
2022-12-29,1127771.4492760242,1236992.1516700818,1136414.4904682883,1155782.579101648,1099156.9944926638,1135044.3013520383,980425.8988937318
2022-12-30,1124191.189633066,1230953.6198376254,1135629.4908284598,1154561.734019688,1096723.4632784806,1133454.076471209,986858.835527617
2023-01-03,1124777.6492616236,1236545.137325216,1137362.4654162778,1155589.0273350729,1096363.5193392644,1136676.722902834,956619.0172260407
2023-01-04,1120303.14969476,1244816.8955378602,1148694.9772083552,1164630.8314476088,1100777.1945723814,1147512.3596979366,946447.6280526497
2023-01-05,1104844.046704684,1232863.450006473,1139460.714517917,1157136.3625213965,1089538.025847723,1139613.1063030215,962099.3718132912
2023-01-06,1127316.3175401564,1262024.9279300717,1163460.9381204948,1183430.9085626067,1112716.0891451247,1166813.2796841795,970188.2249299521
2023-01-09,1128403.530390682,1255575.2008769314,1159507.3079901624,1180172.687958574,1108978.617391354,1163826.6904629702,953906.147708092
2023-01-10,1134539.687925503,1263622.7215434539,1165336.1616217562,1185499.1417852335,1115147.6817025437,1170925.2229704321,958309.6429076694
2023-01-11,1146445.8465207254,1272156.2634531378,1174229.5562400464,1192504.8349386307,1124044.9530560728,1178351.667638066,955708.5668412463
2023-01-12,1154084.6482979492,1274188.9938503534,1180388.2782713042,1201676.0629593998,1131223.282078695,1186300.9154035468,964740.7111641036
2023-01-13,1157952.0963672127,1282144.3193539921,1184553.1415433213,1206296.596138104,1134950.155842155,1190404.8309924316,967797.3625953903
2023-01-17,1151644.2401838135,1243337.204735035,1170319.4320717086,1198412.8422618324,1121988.296716846,1178057.9551050938,974665.9870060647
2023-01-18,1128985.5201906397,1220622.3023200086,1147428.7291486342,1174998.226160455,1101676.8605547454,1155369.899648898,957915.9672669308
2023-01-19,1117570.4926093454,1211454.5712444494,1138166.221863627,1166291.0111480076,1093325.7734335782,1146641.3360445825,967542.3929005613
2023-01-20,1136495.1968329565,1214434.2779774047,1148177.0157575516,1180004.0294317568,1104275.0483500997,1160327.746312122,974945.8212737011
2023-01-23,1144392.9014751678,1227539.5833652653,1156237.4076413934,1189746.7998825605,1112681.3225671537,1170855.0198298995,973872.5836635134
2023-01-24,1145772.4916706549,1221716.8797345865,1155409.0357688859,1194132.851103275,1116135.62118957,1173057.2596981623,971039.9584309852
2023-01-25,1144190.0521081013,1215843.9591197523,1154379.6179971255,1194753.657682868,1116462.4787200107,1172971.440898403,964539.7813801989
2023-01-26,1156675.7154312138,1222295.7103597077,1153746.353077866,1205821.0283243977,1123264.0621114608,1179739.7419279665,993477.22164089
2023-01-27,1154056.2593059381,1219034.2057104164,1157902.4510411683,1198542.9889551273,1124212.5822442821,1180515.4807711001,958104.8903612582
2023-01-30,1143398.352844032,1214600.569934602,1150831.6634114103,1187772.248791198,1115577.4172852705,1171192.6905556854,940042.0166382472
2023-01-31,1158754.8890359965,1235721.7644708548,1166145.550658195,1199790.4243772256,1127784.6219541763,1183376.762700413,942732.1228055444
